"PatchNb1";"PatchNb2";"dE2000"
1;4;3,35279893482964
4;6;3,65160422855108
1;6;5,76894105318128
2;5;6,71028730119783
1;5;7,94245722752659
1;2;9,70916549606833
4;5;11,243289674597
2;4;12,5805388732054
2;6;12,7812310958416
5;6;13,2952464271228
3;5;45,2040752793157
2;3;49,7893178899904
1;3;50,4556479072349
3;4;52,4183043766828
3;6;55,2230180034213
