"Var";"OxyTime";"PatchNo";"R";"G";"B";"L";"a";"b";"Lwc";"awc";"bwc"
"A24";720;8;0,277193899782135;0,171311546840959;0,142814814814815;20,9647923239212;11,4801325827934;9,86524189253328;20,6999293707892;8,50182667468374;11,7050530723882
"A24";720;9;0,896627450980392;0,637019607843137;0,289045751633987;71,6153713080292;16,1179043277567;54,3857853422341;70,9875829579405;9,32616575079454;57,4248608359941
"A24";720;10;0,882161220043573;0,414309368191721;0,231930283224401;58,5624623801593;43,5306365559973;47,1719085564468;58,0282017300319;37,0316173197276;49,7203449721883
"A24";720;11;0,537464052287582;0,236949891067538;0,240278867102397;35,8691849651398;32,8065435190008;15,4835263236725;35,4975279195373;28,2246250524609;17,9952178203082
"A24";720;12;0,421838779956427;0,245368191721133;0,216087145969499;31,6841072175602;18,7450970570866;12,986446338932;31,3424374106685;14,8081876123356;15,3486772494185
"A24";720;13;0,943075980392157;0,705851715686274;0,358409926470588;77,2901684226909;12,8400545468018;52,8064885754123;76,6217185829057;5,71266052111802;56,2599052093108
"A24";720;14;0,921760348583878;0,526466230936819;0,304505446623094;66,0120012130183;33,8831067144006;46,4962683547833;65,4243625582897;27,0723693958415;49,5290461039864
"A24";720;15;0,703477124183006;0,380183006535948;0,336575163398693;50,5006300826517;32,1048138883888;21,2109983016533;50,0241346890218;26,4705477268837;24,3732245480622
"A24";720;16;0,511041394335512;0,376488017429194;0,323851851851852;43,8814371546359;11,9919301598866;13,1179183446006;43,4523701077123;7,32651976795851;16,2204078672359
"A24";720;17;0,967708333333333;0,768321078431373;0,429166666666667;81,9974607687972;8,37611738608296;49,8067440394429;81,295281878376;1,01238201977988;53,6758958562326
"A24";720;18;0,951302083333333;0,578140318627451;0,351118259803922;69,9762408231855;30,7330731417176;45,3142784618122;69,3601972960348;23,7086058577153;48,6398591697454
"A24";720;19;0,776669730392157;0,457735906862745;0,399831495098039;57,6861874804709;30,3283211039155;21,9085596219591;57,1582055821798;24,2117797104545;25,4804423069631
"A24";720;20;0,646982230392157;0,498268995098039;0,415762867647059;56,320824439598;11,6493004949431;17,0783928140844;55,8026257448465;6,0830776244753;20,772704180713
"A24";720;21;0,971277573529412;0,815487132352941;0,529917279411765;85,3726465320922;4,74671568582624;41,2631195568195;84,6462835028612;-2,77613895717904;45,7028959696343
"A24";720;22;0,945098039215686;0,690686274509804;0,449264705882353;76,6984745279995;16,8356439995636;40,6388217815957;76,0342643384989;9,65511783095957;44,5747899804351
"A24";720;23;0,941681985294118;0,632858455882353;0,511780024509804;73,415284626441;25,7597782659653;27,9748281996609;72,7745993999755;18,6039395681091;32,249923150577
"A24";720;24;0,947916666666667;0,810661764705882;0,68780637254902;85,2152351330524;7,70264788514841;20,1392957555135;84,49;0,120000000000009;25,47
"A24";780;1;0,76719825708061;0,463930283224401;0,181507625272331;56,9951287101445;24,6048692798544;50,3429775314111;56,6425935589528;18,6382168279973;52,5345496339027
"A24";780;2;0,734884531590414;0,285211328976035;0,162596949891068;46,326152804022;44,5749183385185;41,5122886237123;46,0251442286524;38,9603001619763;43,438131976897
"A24";780;3;0,345952069716776;0,0962788671023965;0,107259259259259;19,4037579491115;29,4195819218404;14,5755044696259;19,2327729891301;26,1397928474137;16,0033065181701
"A24";780;4;0,2159825708061;0,132880174291939;0,114823529411765;15,7066048437087;9,48516686663345;7,26573956470147;15,5534755468657;6,91998875219108;8,75900374642832
"A24";780;5;0,847494553376906;0,524618736383442;0,213507625272331;63,2427547575476;25,239500700418;53,8426653671993;62,8600462532552;18,794632557021;56,25181071709
"A24";780;6;0,819712418300654;0,332566448801743;0,179694989106754;52,0911604798448;47,0420375211097;46,3145592804814;51,762309391029;40,9446244902391;48,3828559188743
"A24";780;7;0,419538126361656;0,153760348583878;0,16400871459695;26,0288871646889;30,4901034697701;14,0566925059316;25,8259056732821;26,6944304166833;15,8720308207504
"A24";780;8;0,276339869281046;0,17038779956427;0,142901960784314;20,8677856183151;11,5338196676718;9,71343178978206;20,689730032871;8,53994678305453;11,4028722374978
"A24";780;9;0,896592592592593;0,635015250544662;0,287721132897603;71,4889132895899;16,3679047729264;54,4033265857385;71,0663793778187;9,50610592437839;57,2501049707799
"A24";780;10;0,878483660130719;0,41355991285403;0,230274509803922;58,3805734713028;43,2513319391594;47,1469845734653;58,0213472163763;36,7702550486502;49,5340603067941
"A24";780;11;0,538091503267974;0,232296296296296;0,236932461873638;35,6369508811174;33,4160404660239;15,7161463341632;35,3875665645525;28,8419009289034;18,0040930666039
"A24";780;12;0,421664488017429;0,245193899782135;0,215912854030501;31,6656054102606;18,7473712458167;12,9887282532038;31,4354009883097;14,7920131877311;15,1570139503571
"A24";780;13;0,941084558823529;0,700260416666667;0,354457720588235;76,8824294534652;13,3145119772521;52,8049882556634;76,4338471728524;6,11934541928616;56,0108564377324
"A24";780;14;0,923677559912854;0,520122004357298;0,301193899782135;65,722119737212;34,8677004660829;46,6098847812925;65,3274369639045;28,0261391206839;49,4250016323116
"A24";780;15;0,700479302832244;0,37683660130719;0,332915032679739;50,1900227529966;32,1771096553853;21,3269989708244;49,8703533436684;26,5489885658334;24,2159663907356
