"Index";"Var";"TubNo";"Trait";"Value";"Variable"
"Hue";"A117";1;"Mean_f";7,9284053160295;"Hue_Mean_f"
"Hue";"A117";1;"SD_i";27,4327970598982;"Hue_SD_i"
"Hue";"A117";1;"SD_f";30,4984840338037;"Hue_SD_f"
"Hue";"A117";1;"Diff";-4,74045233271136;"Hue_Diff"
"Hue";"A117";1;"Slope";0,00089258548581358;"Hue_Slope"
"Hue";"A117";2;"Mean_i";13,8708190409492;"Hue_Mean_i"
"Hue";"A117";2;"Mean_f";7,19484997299831;"Hue_Mean_f"
"Hue";"A117";2;"SD_i";24,1567703644594;"Hue_SD_i"
"Hue";"A117";2;"SD_f";27,4658574697752;"Hue_SD_f"
"Hue";"A117";2;"Diff";-6,67596906795086;"Hue_Diff"
"Hue";"A117";2;"Slope";-0,000332475344910288;"Hue_Slope"
"Hue";"A117";3;"Mean_i";7,96878554870964;"Hue_Mean_i"
"Hue";"A117";3;"Mean_f";-1,38912188581515;"Hue_Mean_f"
"Hue";"A117";3;"SD_i";20,5757995388247;"Hue_SD_i"
"Hue";"A117";3;"SD_f";22,9001711429952;"Hue_SD_f"
"Hue";"A117";3;"Diff";-9,3579074345248;"Hue_Diff"
"Hue";"A117";3;"Slope";-0,00221912292364655;"Hue_Slope"
"Hue";"A14";1;"Mean_i";31,3120430468676;"Hue_Mean_i"
"Hue";"A14";1;"Mean_f";24,8274094605986;"Hue_Mean_f"
"Hue";"A14";1;"SD_i";7,56331284289903;"Hue_SD_i"
"Hue";"A14";1;"SD_f";6,27957777692662;"Hue_SD_f"
"Hue";"A14";1;"Diff";-6,484633586269;"Hue_Diff"
"Hue";"A14";1;"Slope";-0,0088847361560911;"Hue_Slope"
"Hue";"A14";2;"Mean_i";27,6858095443004;"Hue_Mean_i"
"Hue";"A14";2;"Mean_f";23,4232752326086;"Hue_Mean_f"
"Hue";"A14";2;"SD_i";7,80442237759256;"Hue_SD_i"
"Hue";"A14";2;"SD_f";7,99222918269498;"Hue_SD_f"
"Hue";"A14";2;"Diff";-4,26253431169176;"Hue_Diff"
"Hue";"A14";2;"Slope";-0,00611553251992849;"Hue_Slope"
"Hue";"A14";3;"Mean_i";31,2536962867137;"Hue_Mean_i"
"Hue";"A14";3;"Mean_f";27,7841554177844;"Hue_Mean_f"
"Hue";"A14";3;"SD_i";9,76145151749079;"Hue_SD_i"
"Hue";"A14";3;"SD_f";7,60929202314775;"Hue_SD_f"
"Hue";"A14";3;"Diff";-3,46954086892934;"Hue_Diff"
"Hue";"A14";3;"Slope";-0,00552995203220225;"Hue_Slope"
"Hue";"A24";1;"Mean_i";22,9046598506886;"Hue_Mean_i"
"Hue";"A24";1;"Mean_f";26,9996256011988;"Hue_Mean_f"
"Hue";"A24";1;"SD_i";10,0057278937591;"Hue_SD_i"
"Hue";"A24";1;"SD_f";9,3672395326501;"Hue_SD_f"
"Hue";"A24";1;"Diff";4,09496575051021;"Hue_Diff"
"Hue";"A24";1;"Slope";0,00629523389851136;"Hue_Slope"
"Hue";"A24";2;"Mean_i";11,1721551962958;"Hue_Mean_i"
"Hue";"A24";2;"Mean_f";15,3147980358312;"Hue_Mean_f"
"Hue";"A24";2;"SD_i";9,40618578006238;"Hue_SD_i"
"Hue";"A24";2;"SD_f";9,21407157448948;"Hue_SD_f"
"Hue";"A24";2;"Diff";4,14264283953543;"Hue_Diff"
"Hue";"A24";2;"Slope";0,00677220792185068;"Hue_Slope"
"Hue";"A24";3;"Mean_i";42,9172495483755;"Hue_Mean_i"
"Hue";"A24";3;"Mean_f";43,4324551997415;"Hue_Mean_f"
"Hue";"A24";3;"SD_i";7,485798124926;"Hue_SD_i"
"Hue";"A24";3;"SD_f";6,61269316266021;"Hue_SD_f"
"Hue";"A24";3;"Diff";0,515205651366038;"Hue_Diff"
"Hue";"A24";3;"Slope";0,00188383519272851;"Hue_Slope"
"WIcroes";"A104";1;"Mean_i";37,4920898644375;"WIcroes_Mean_i"
"WIcroes";"A104";1;"Mean_f";22,2082422949688;"WIcroes_Mean_f"
"WIcroes";"A104";1;"SD_i";15,6109779155358;"WIcroes_SD_i"
"WIcroes";"A104";1;"SD_f";13,9721769786588;"WIcroes_SD_f"
"WIcroes";"A104";1;"Diff";-15,2838475694687;"WIcroes_Diff"
"WIcroes";"A104";1;"Slope";-0,0141964173328423;"WIcroes_Slope"
"WIcroes";"A104";2;"Mean_i";38,9078778041791;"WIcroes_Mean_i"
"WIcroes";"A104";2;"Mean_f";37,5693721293545;"WIcroes_Mean_f"
"WIcroes";"A104";2;"SD_i";17,5315242786951;"WIcroes_SD_i"
"WIcroes";"A104";2;"SD_f";17,8238524333408;"WIcroes_SD_f"
"WIcroes";"A104";2;"Diff";-1,33850567482457;"WIcroes_Diff"
"WIcroes";"A104";2;"Slope";-0,00137042758938856;"WIcroes_Slope"
"WIcroes";"A104";3;"Mean_i";36,417742526573;"WIcroes_Mean_i"
"WIcroes";"A104";3;"Mean_f";31,3171241822589;"WIcroes_Mean_f"
"WIcroes";"A104";3;"SD_i";15,628407114114;"WIcroes_SD_i"
"WIcroes";"A104";3;"SD_f";14,2695682393584;"WIcroes_SD_f"
"WIcroes";"A104";3;"Diff";-5,1006183443141;"WIcroes_Diff"
"WIcroes";"A104";3;"Slope";-0,00524137126027445;"WIcroes_Slope"
"WIcroes";"A117";1;"Mean_i";52,4846736249436;"WIcroes_Mean_i"
"WIcroes";"A117";1;"Mean_f";53,3982945089341;"WIcroes_Mean_f"
"WIcroes";"A117";1;"SD_i";20,1126596704825;"WIcroes_SD_i"
"WIcroes";"A117";1;"SD_f";20,128261843209;"WIcroes_SD_f"
"WIcroes";"A117";1;"Diff";0,913620883990539;"WIcroes_Diff"
"WIcroes";"A117";1;"Slope";0,000554798607942582;"WIcroes_Slope"
"WIcroes";"A117";2;"Mean_i";53,3150065106593;"WIcroes_Mean_i"
"WIcroes";"A117";2;"Mean_f";55,3399497927575;"WIcroes_Mean_f"
"WIcroes";"A117";2;"SD_i";16,3586362825775;"WIcroes_SD_i"
"WIcroes";"A117";2;"SD_f";16,7401757940167;"WIcroes_SD_f"
"WIcroes";"A117";2;"Diff";2,02494328209821;"WIcroes_Diff"
"WIcroes";"A117";2;"Slope";0,00138608334249554;"WIcroes_Slope"
"WIcroes";"A117";3;"Mean_i";55,8578731896221;"WIcroes_Mean_i"
"WIcroes";"A117";3;"Mean_f";58,7134425531111;"WIcroes_Mean_f"
"WIcroes";"A117";3;"SD_i";13,9117538189439;"WIcroes_SD_i"
"WIcroes";"A117";3;"SD_f";14,1100694845037;"WIcroes_SD_f"
"WIcroes";"A117";3;"Diff";2,85556936348899;"WIcroes_Diff"
"WIcroes";"A117";3;"Slope";0,00221413401670821;"WIcroes_Slope"
"WIcroes";"A14";1;"Mean_i";50,8298207640024;"WIcroes_Mean_i"
"WIcroes";"A14";1;"Mean_f";26,8910658156984;"WIcroes_Mean_f"
"WIcroes";"A14";1;"SD_i";11,8933136962021;"WIcroes_SD_i"
"WIcroes";"A14";1;"SD_f";10,6065563845712;"WIcroes_SD_f"
"WIcroes";"A14";1;"Diff";-23,938754948304;"WIcroes_Diff"
"WIcroes";"A14";1;"Slope";-0,0326157021679584;"WIcroes_Slope"
"WIcroes";"A14";2;"Mean_i";52,506008339194;"WIcroes_Mean_i"
"WIcroes";"A14";2;"Mean_f";27,6789510571176;"WIcroes_Mean_f"
"WIcroes";"A14";2;"SD_i";16,8876711792686;"WIcroes_SD_i"
"WIcroes";"A14";2;"SD_f";15,6086954648759;"WIcroes_SD_f"
"WIcroes";"A14";2;"Diff";-24,8270572820764;"WIcroes_Diff"
"WIcroes";"A14";2;"Slope";-0,0335532786992355;"WIcroes_Slope"
"WIcroes";"A14";3;"Mean_i";45,8609085104607;"WIcroes_Mean_i"
"WIcroes";"A14";3;"Mean_f";20,3760234350976;"WIcroes_Mean_f"
"WIcroes";"A14";3;"SD_i";13,7122674874678;"WIcroes_SD_i"
"WIcroes";"A14";3;"SD_f";11,4747092890239;"WIcroes_SD_f"
"WIcroes";"A14";3;"Diff";-25,4848850753631;"WIcroes_Diff"
"WIcroes";"A14";3;"Slope";-0,0338020211216956;"WIcroes_Slope"
"WIcroes";"A24";1;"Mean_i";45,4750196308235;"WIcroes_Mean_i"
"WIcroes";"A24";1;"Mean_f";39,4270199834032;"WIcroes_Mean_f"
"WIcroes";"A24";1;"SD_i";12,652744703837;"WIcroes_SD_i"
"WIcroes";"A24";1;"SD_f";14,1386914614525;"WIcroes_SD_f"
"WIcroes";"A24";1;"Diff";-6,04799964742021;"WIcroes_Diff"
"WIcroes";"A24";1;"Slope";-0,00670919027809107;"WIcroes_Slope"
"WIcroes";"A24";2;"Mean_i";53,2020322493446;"WIcroes_Mean_i"
"WIcroes";"A24";2;"Mean_f";48,914190510884;"WIcroes_Mean_f"
"WIcroes";"A24";2;"SD_i";12,158821747957;"WIcroes_SD_i"
"WIcroes";"A24";2;"SD_f";12,6925990706572;"WIcroes_SD_f"
"WIcroes";"A24";2;"Diff";-4,28784173846056;"WIcroes_Diff"
"WIcroes";"A24";2;"Slope";-0,00503102054333305;"WIcroes_Slope"
"WIcroes";"A24";3;"Mean_i";31,9922760154685;"WIcroes_Mean_i"
"WIcroes";"A24";3;"Mean_f";26,9119654396051;"WIcroes_Mean_f"
"WIcroes";"A24";3;"SD_i";16,647316837951;"WIcroes_SD_i"
"WIcroes";"A24";3;"SD_f";16,7466113848496;"WIcroes_SD_f"
"WIcroes";"A24";3;"Diff";-5,08031057586341;"WIcroes_Diff"
"WIcroes";"A24";3;"Slope";-0,00607817638803519;"WIcroes_Slope"
"YIfc";"A104";1;"Mean_i";27,1742840844231;"YIfc_Mean_i"
"YIfc";"A104";1;"Mean_f";60,0857586282865;"YIfc_Mean_f"
"YIfc";"A104";1;"SD_i";23,6342377721265;"YIfc_SD_i"
"YIfc";"A104";1;"SD_f";20,3378279138393;"YIfc_SD_f"
