"SourceFile";"Var";"Pic";"DateTime";"Nb";"Model";"ImageWidth";"ImageHeight";"FocusDistance";"FNumber";"ExposureTime";"ISO";"WB_RBLevels";"DOF";"FOV";"ShutterSpeed";"Aperture";"Flash";"FocalLength";"Quality";"RedBalance";"BlueBalance";"Time"
"./data/TuberColorSamples/A104/DSC_0017.NEF";"A104";"DSC_0017";2021-04-27 10:03:54;16;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.51171875 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,51171875;450
"./data/TuberColorSamples/A104/DSC_0018.NEF";"A104";"DSC_0018";2021-04-27 10:04:24;17;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.51171875 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,51171875;480
"./data/TuberColorSamples/A104/DSC_0019.NEF";"A104";"DSC_0019";2021-04-27 10:04:54;18;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.5078125 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,5078125;510
"./data/TuberColorSamples/A104/DSC_0020.NEF";"A104";"DSC_0020";2021-04-27 10:05:24;19;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.50390625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,50390625;540
"./data/TuberColorSamples/A104/DSC_0021.NEF";"A104";"DSC_0021";2021-04-27 10:05:54;20;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.50390625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,50390625;570
"./data/TuberColorSamples/A104/DSC_0022.NEF";"A104";"DSC_0022";2021-04-27 10:06:24;21;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.5078125 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,5078125;600
"./data/TuberColorSamples/A104/DSC_0023.NEF";"A104";"DSC_0023";2021-04-27 10:06:54;22;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.51171875 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,51171875;630
"./data/TuberColorSamples/A104/DSC_0024.NEF";"A104";"DSC_0024";2021-04-27 10:07:24;23;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.23828125 2.51953125 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,23828125;2,51953125;660
"./data/TuberColorSamples/A104/DSC_0025.NEF";"A104";"DSC_0025";2021-04-27 10:07:54;24;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;220;"1.234375 2.5078125 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,234375;2,5078125;690
"./data/TuberColorSamples/A104/DSC_0026.NEF";"A104";"DSC_0026";2021-04-27 10:08:24;25;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.234375 2.51171875 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,234375;2,51171875;720
